# Frequencies of Harmonic Normal Modes
#     mode         wavenumber (cm**-1)
         1                           0
         2                           0
         3                           0
         4                  0.00261718
         5                  0.00427167
         6                    0.117175
         7                     44.2107
         8                     54.7101
         9                     71.7094
        10                     97.7923
        11                     116.082
        12                     157.816
        13                     159.242
        14                       241.2
        15                     254.757
        16                     278.605
        17                     320.415
        18                      375.77
        19                     410.413
        20                     536.788
        21                     590.278
        22                     609.844
        23                     632.377
        24                     679.004
        25                     749.045
        26                     759.814
        27                     823.609
        28                     874.742
        29                     932.891
        30                     996.314
        31                     1030.91
        32                     1049.37
        33                     1052.88
        34                     1072.52
        35                     1085.48
        36                     1095.54
        37                     1162.89
        38                     1308.56
        39                     1314.76
        40                     1396.73
        41                     1399.34
        42                     1405.65
        43                     1408.02
        44                     1412.13
        45                     1415.08
        46                     1425.81
        47                     1499.99
        48                      1505.8
        49                     1525.06
        50                     1554.47
        51                     1672.02
        52                     1677.63
        53                     1758.69
        54                      1794.7
        55                     2866.46
        56                     2869.08
        57                     2869.14
        58                     2948.07
        59                     2980.54
        60                      2981.8
        61                     2981.95
        62                     2982.63
        63                     2983.43
        64                     2984.25
        65                     3304.07
        66                     3307.17
